Category: Health,
,
Week,influenza: (United States)
10/3/2010,21
10/10/2010,21
10/17/2010,24
10/24/2010,22
10/31/2010,19
11/7/2010,17
11/14/2010,21
11/21/2010,16
11/28/2010,20
12/5/2010,19
12/12/2010,19
12/19/2010,17
12/26/2010,17
1/2/2011,21
1/9/2011,22
1/16/2011,25
1/23/2011,31
1/30/2011,33
2/6/2011,39
2/13/2011,46
2/20/2011,42
2/27/2011,32
3/6/2011,30
3/13/2011,25
3/20/2011,22
3/27/2011,19
4/3/2011,16
4/10/2011,16
4/17/2011,12
4/24/2011,12
5/1/2011,12
5/8/2011,11
5/15/2011,11
5/22/2011,8
5/29/2011,8
6/5/2011,9
6/12/2011,8
6/19/2011,7
6/26/2011,7
7/3/2011,5
7/10/2011,8
7/17/2011,7
7/24/2011,8
7/31/2011,6
8/7/2011,7
8/14/2011,8
8/21/2011,9
8/28/2011,11
9/4/2011,12
9/11/2011,17
9/18/2011,18
9/25/2011,17
10/2/2011,18
10/9/2011,18
10/16/2011,18
10/23/2011,17
10/30/2011,18
11/6/2011,18
11/13/2011,18
11/20/2011,12
11/27/2011,17
12/4/2011,16
12/11/2011,14
12/18/2011,11
12/25/2011,10
1/1/2012,12
1/8/2012,11
1/15/2012,14
1/22/2012,15
1/29/2012,16
2/5/2012,18
2/12/2012,23
2/19/2012,22
2/26/2012,24
3/4/2012,28
3/11/2012,27
3/18/2012,25
3/25/2012,20
4/1/2012,17
4/8/2012,17
4/15/2012,17
4/22/2012,16
4/29/2012,16
5/6/2012,15
5/13/2012,12
5/20/2012,11
5/27/2012,8
6/3/2012,9
6/10/2012,7
6/17/2012,8
6/24/2012,7
7/1/2012,6
7/8/2012,7
7/15/2012,7
7/22/2012,7
7/29/2012,7
8/5/2012,7
8/12/2012,8
8/19/2012,10
8/26/2012,10
9/2/2012,12
9/9/2012,16
9/16/2012,17
9/23/2012,17
9/30/2012,19
10/7/2012,16
10/14/2012,19
10/21/2012,19
10/28/2012,17
11/4/2012,18
11/11/2012,21
11/18/2012,16
11/25/2012,24
12/2/2012,32
12/9/2012,33
12/16/2012,39
12/23/2012,43
12/30/2012,55
1/6/2013,100
1/13/2013,82
1/20/2013,60
1/27/2013,48
2/3/2013,39
2/10/2013,29
2/17/2013,28
2/24/2013,28
3/3/2013,26
3/10/2013,22
3/17/2013,23
3/24/2013,19
3/31/2013,20
4/7/2013,18
4/14/2013,16
4/21/2013,15
4/28/2013,13
5/5/2013,12
5/12/2013,12
5/19/2013,10
5/26/2013,9
6/2/2013,8
6/9/2013,9
6/16/2013,8
6/23/2013,7
6/30/2013,6
7/7/2013,6
7/14/2013,8
7/21/2013,6
7/28/2013,8
8/4/2013,7
8/11/2013,8
8/18/2013,9
8/25/2013,11
9/1/2013,13
9/8/2013,16
9/15/2013,17
9/22/2013,21
9/29/2013,19
10/6/2013,21
10/13/2013,21
10/20/2013,21
10/27/2013,19
11/3/2013,19
11/10/2013,19
11/17/2013,18
11/24/2013,13
12/1/2013,20
12/8/2013,23
12/15/2013,30
12/22/2013,35
12/29/2013,44
1/5/2014,49
1/12/2014,50
1/19/2014,43
1/26/2014,40
