Week,influenza: (United States)
10/4/2015,16
10/11/2015,15
10/18/2015,13
10/25/2015,13
11/1/2015,12
11/8/2015,12
11/15/2015,11
11/22/2015,9
11/29/2015,12
12/6/2015,12
12/13/2015,10
12/20/2015,8
12/27/2015,11
1/3/2016,11
1/10/2016,11
1/17/2016,12
1/24/2016,12
1/31/2016,16
2/7/2016,19
2/14/2016,23
2/21/2016,28
2/28/2016,31
3/6/2016,32
3/13/2016,27
3/20/2016,23
3/27/2016,22
4/3/2016,17
4/10/2016,16
4/17/2016,15
4/24/2016,13
5/1/2016,10
5/8/2016,9
5/15/2016,8
5/22/2016,7
5/29/2016,5
6/5/2016,6
6/12/2016,5
6/19/2016,4
6/26/2016,5
7/3/2016,4
7/10/2016,4
7/17/2016,4
7/24/2016,4
7/31/2016,4
8/7/2016,4
8/14/2016,5
8/21/2016,5
8/28/2016,6
9/4/2016,7
9/11/2016,10
9/18/2016,11
9/25/2016,11
10/2/2016,11
10/9/2016,11
10/16/2016,10
10/23/2016,11
10/30/2016,10
11/6/2016,9
11/13/2016,10
11/20/2016,8
11/27/2016,12
12/4/2016,13
12/11/2016,13
12/18/2016,12
12/25/2016,16
1/1/2017,20
1/8/2017,22
1/15/2017,25
1/22/2017,30
1/29/2017,34
2/5/2017,45
2/12/2017,44
2/19/2017,42
2/26/2017,30
3/5/2017,28
3/12/2017,27
3/19/2017,29
3/26/2017,25
4/2/2017,22
4/9/2017,17
4/16/2017,14
4/23/2017,12
4/30/2017,10
5/7/2017,10
5/14/2017,8
5/21/2017,7
5/28/2017,7
6/4/2017,7
6/11/2017,6
6/18/2017,6
6/25/2017,5
7/2/2017,5
7/9/2017,4
7/16/2017,5
7/23/2017,5
7/30/2017,5
8/6/2017,5
8/13/2017,6
8/20/2017,6
8/27/2017,7
9/3/2017,7
9/10/2017,9
9/17/2017,12
9/24/2017,14
10/1/2017,12
10/8/2017,13
10/15/2017,13
10/22/2017,14
10/29/2017,13
11/12/2017,14
11/19/2017,11
11/26/2017,15
12/3/2017,18
12/10/2017,23
12/17/2017,35
12/24/2017,46
12/31/2017,59
1/7/2018,71
1/14/2018,81
1/21/2018,91
1/28/2018,100
2/4/2018,86
2/11/2018,74
2/18/2018,54
2/25/2018,39
3/4/2018,32
3/11/2018,27
3/18/2018,24
3/25/2018,28
4/1/2018,21
4/8/2018,18
4/15/2018,16
4/22/2018,14
4/29/2018,11
5/6/2018,10
5/13/2018,8
5/20/2018,7
5/27/2018,6
6/3/2018,6
6/10/2018,6
6/17/2018,5
6/24/2018,4
7/1/2018,3
7/8/2018,5
7/15/2018,5
7/22/2018,5
7/29/2018,5
8/5/2018,5
8/12/2018,6
8/19/2018,6
8/26/2018,8
9/2/2018,9
9/9/2018,10
9/16/2018,12
9/23/2018,13
9/30/2018,15
10/7/2018,14
10/14/2018,16
10/21/2018,14
10/28/2018,13
11/4/2018,13
11/11/2018,13
11/18/2018,9
11/25/2018,14
12/2/2018,14
12/9/2018,16
12/16/2018,19
12/23/2018,23
12/30/2018,23
1/6/2019,26
1/13/2019,29
1/20/2019,32
1/27/2019,36
2/3/2019,41
2/10/2019,44
