YEAR,WEEK,% WEIGHTED ILI
2015,40,1.22559
2015,41,1.31066
2015,42,1.3711
2015,43,1.39171
2015,44,1.43712
2015,45,1.50165
2015,46,1.59805
2015,47,1.89668
2015,48,1.67728
2015,49,1.78296
2015,50,1.87336
2015,51,2.32148
2015,52,2.40991
2016,1,1.94328
2016,2,1.99796
2016,3,2.11829
2016,4,2.25112
2016,5,2.37116
2016,6,2.80035
2016,7,3.16475
2016,8,3.15183
2016,9,3.3321
2016,10,3.56024
2016,11,3.05479
2016,12,2.76732
2016,13,2.44161
2016,14,2.03348
2016,15,1.98593
2016,16,1.91514
2016,17,1.69968
2016,18,1.57635
2016,19,1.3935
2016,20,1.29941
2016,21,1.18379
2016,22,1.13723
2016,23,1.04118
2016,24,0.971814
2016,25,0.863306
2016,26,0.833797
2016,27,0.784516
2016,28,0.734327
2016,29,0.698845
2016,30,0.723099
2016,31,0.663501
2016,32,0.69276
2016,33,0.710029
2016,34,0.834232
2016,35,0.992621
2016,36,1.01605
2016,37,1.07169
2016,38,1.10163
2016,39,1.18841
2016,40,1.2019
2016,41,1.23108
2016,42,1.26796
2016,43,1.36298
2016,44,1.48535
2016,45,1.55954
2016,46,1.64783
2016,47,1.91275
2016,48,1.81725
2016,49,1.91433
2016,50,2.21003
2016,51,2.73568
2016,52,3.36832
2017,1,3.09689
2017,2,3.07346
2017,3,3.51643
2017,4,3.8027
2017,5,4.50313
2017,6,5.06308
2017,7,4.86009
2017,8,4.57916
2017,9,3.55674
2017,10,3.50417
2017,11,3.21511
2017,12,3.10088
2017,13,2.79056
2017,14,2.38547
2017,15,1.9703
2017,16,1.73442
2017,17,1.56303
2017,18,1.4128
2017,19,1.27492
2017,20,1.2834
2017,21,1.16663
2017,22,1.10977
2017,23,1.04333
2017,24,0.905151
2017,25,0.902718
2017,26,0.859531
2017,27,0.818998
2017,28,0.752505
2017,29,0.731146
2017,30,0.733295
2017,31,0.73102
2017,32,0.68834
2017,33,0.732049
2017,34,0.911188
2017,35,1.02105
2017,36,1.09495
2017,37,1.09475
2017,38,1.09775
2017,39,1.18882
2017,40,1.26589
2017,41,1.30479
2017,42,1.34075
2017,43,1.51674
2017,44,1.74583
2017,45,1.88708
2017,46,2.05923
2017,47,2.27971
2017,48,2.28379
2017,49,2.58278
2017,50,3.36558
2017,51,4.73117
2017,52,5.70943
2018,1,5.74658
2018,2,5.89207
2018,3,6.51759
2018,4,7.16338
2018,5,7.52133
2018,6,7.38748
2018,7,6.44688
2018,8,4.95881
2018,9,3.68612
2018,10,3.18626
2018,11,2.76894
2018,12,2.48706
2018,13,2.40802
2018,14,2.07483
2018,15,1.77898
2018,16,1.61487
2018,17,1.5385
2018,18,1.52612
2018,19,1.28847
2018,20,1.18344
2018,21,1.24919
2018,22,1.14131
2018,23,0.9878
2018,24,0.895565
2018,25,0.892204
2018,26,0.877184
2018,27,0.780203
2018,28,0.725075
2018,29,0.68247
2018,30,0.640393
2018,31,0.639127
2018,32,0.705637
2018,33,0.707801
2018,34,0.822659
2018,35,0.859864
2018,36,1.10083
2018,37,1.15323
2018,38,1.20178
2018,39,1.2498
2018,40,1.40915
2018,41,1.3981
2018,42,1.45944
2018,43,1.64212
2018,44,1.77754
2018,45,1.86204
2018,46,1.99006
2018,47,2.24928
2018,48,2.14674
2018,49,2.26517
2018,50,2.64702
2018,51,3.16945
2018,52,3.98104
2019,1,3.46991
2019,2,3.08666
2019,3,3.31026
2019,4,3.77069
2019,5,4.31372
2019,6,4.76853
