Day,1,2,3,4,5,6,7,8,9,10,11,12
1,71,79,63,70,61,75,78,90,82,90,82,66
2,78,84,59,69,65,80,78,90,79,82,88,65
3,74,80,61,70,69,79,80,92,79,80,86,68
4,75,81,62,66,90,77,82,90,76,79,82,71
5,73,77,72,68,86,73,88,89,77,77,77,61
6,68,73,78,70,83,74,108,93,76,77,75,58
7,74,82,72,72,76,77,104,96,82,78,71,70
8,68,83,73,75,76,81,98,98,84,77,75,72
9,64,73,72,95,75,82,96,97,89,77,82,72
10,66,65,62,88,76,80,91,93,84,73,78,68
11,70,72,69,80,65,81,90,90,82,75,78,70
12,72,63,72,70,66,84,88,88,81,81,78,66
13,84,66,70,79,70,80,83,86,85,71,76,77
14,83,69,65,87,72,88,84,84,92,73,79,69
15,72,71,67,79,71,82,87,86,86,82,80,72
16,72,74,63,65,75,75,84,86,87,83,76,71
17,78,76,62,71,74,70,81,87,87,83,72,68
18,76,69,64,72,70,72,83,85,85,85,74,68
19,65,59,74,63,68,75,86,86,81,89,73,75
20,62,60,72,74,70,80,82,86,82,90,74,76
21,64,62,65,83,67,78,82,86,80,81,71,71
22,69,62,65,79,68,78,88,84,81,76,68,70
23,75,59,69,76,69,74,93,84,80,73,69,67
24,75,62,65,70,67,77,94,84,79,79,71,67
25,63,68,64,70,69,79,90,81,73,79,76,67
26,68,67,72,71,72,78,88,82,80,84,78,66
27,74,56,77,70,74,80,84,81,80,84,76,67
28,83,62,76,70,73,79,86,81,82,81,69,62
29,86,M,74,69,72,79,96,85,81,74,65,62
30,82,-,76,68,70,80,87,87,85,74,67,66
31,81,-,70,-,72,-,88,85,-,80,-,63
